timestamp,function,cgroup,mem_current,mem_high,mem_max,pgfault,pgmajfault
1774418110.800352,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418111.3006687,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418111.3006687,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418111.3006687,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418111.8012135,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418111.8012135,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418111.8012135,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418112.301359,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418112.301359,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418112.301359,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418112.802922,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418112.802922,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418112.802922,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418113.3019116,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418113.3019116,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418113.3019116,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418113.8021407,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418113.8021407,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418113.8021407,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418114.303481,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418114.303481,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418114.303481,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418114.803503,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418114.803503,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418114.803503,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418115.303486,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418115.303486,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418115.303486,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418115.803655,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418115.803655,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418115.803655,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418116.3041246,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418116.3041246,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418116.3041246,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418116.804618,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418116.804618,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418116.804618,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418117.3045316,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418117.3045316,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418117.3045316,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418117.8053286,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
1774418117.8053286,func_cpu_light_mem_heavy,func_b.slice,0,0,0,0,0
1774418117.8053286,func_cpu_heavy_mem_heavy,func_c.slice,0,0,0,0,0
1774418118.3051996,func_cpu_light_mem_light,func_a.slice,0,0,0,0,0
